bussinessZones,city,cityPositionCounts,companyName,companySize,district,education,financeStage,industryField,positionID,positionLables,positionName,positionType1,postionType2,salary,workYear
"['田林', '漕河泾', '漕宝路']",上海,476,上海天戏互娱科技股份有限公司,50-150人,徐汇区,本科,上市公司,游戏,3642223,"['游戏', '大数据']",游戏运营产品数据分析师,产品/需求/项目类,数据分析,10k-18k,3-5年
"['陆家嘴', '洋泾', '梅园']",上海,476,同程网络科技股份有限公司,2000人以上,浦东新区,本科,D轮及以上,"旅游,电子商务",3796751,"['初级', '大数据', 'SQL', 'ETL']",数据分析师（风控方向）,开发/测试/运维类,数据开发,10k-15k,1年以下
['唐镇'],上海,476,平安银行股份有限公司,2000人以上,浦东新区,本科,上市公司,金融,3361275,"['大数据', '数据挖掘', '算法', '自然语言处理']",信用卡核心系统研发 数据分析/机器学习,开发/测试/运维类,数据开发,20k-40k,3-5年
"['四平路', '四川北路', '东宝兴路', '四川北路', '东宝兴路']",上海,476,上海掌小门教育科技有限公司,500-2000人,虹口区,本科,D轮及以上,"移动互联网,教育",3747533,"['金融', '教育', '风控', '流程管理']",CEO助理（数据分析方向）,产品/需求/项目类,数据分析,7k-10k,1-3年
NULL,上海,476,北京字节跳动科技有限公司,500-2000人,黄浦区,本科,C轮,"移动互联网,数据服务",4049452,['内容'],海外运营数据分析,运营/编辑/客服,运营,7k-14k,1-3年
"['陆家嘴', '梅园', '陆家嘴', '八佰伴', '梅园', '八佰伴']",上海,476,上海康成电子商务有限公司,50-150人,浦东新区,本科,未融资,"金融,电子商务",3471490,"['金融', '脚本', '测试', '自动化']",大数据分析工程师,产品/需求/项目类,数据分析,8k-15k,1-3年
"['外滩', '海宁路', '七浦路']",上海,476,上海籁恩电子商务有限公司,15-50人,虹口区,本科,未融资,电子商务,4041332,"['电商', '高级']",电商运营数据分析,开发/测试/运维类,数据开发,7k-9k,1-3年
['张江'],上海,476,上海思华科技股份有限公司,150-500人,浦东新区,本科,D轮及以上,移动互联网,3053409,"['金融', '数据挖掘', 'SPSS']",大数据分析工程师,开发/测试/运维类,数据开发,8k-15k,1-3年
"['中山公园', '镇宁路', '曹家渡', '中山公园', '镇宁路', '曹家渡']",上海,476,上海音智达信息技术有限公司,500-2000人,长宁区,本科,未融资,"数据服务,其他",3880087,['数据运营'],数据分析专员（运营方向）,产品/需求/项目类,数据分析,5k-10k,1-3年
"['中山公园', '镇宁路']",上海,476,北京九章云极科技有限公司,150-500人,长宁区,本科,B轮,数据服务,3407081,"['金融', '数据挖掘']",大数据分析工程师,开发/测试/运维类,数据开发,15k-30k,3-5年
NULL,上海,476,腾讯科技(深圳)有限公司,2000人以上,徐汇区,本科,上市公司,"移动互联网 ,游戏",4050430,"['游戏', '资深', 'SPSS', '用户研究']",绝地求生产品数据分析师（上海）,运营/编辑/客服,运营,25k-35k,3-5年
NULL,上海,476,上海二三四五网络科技有限公司,500-2000人,浦东新区,本科,上市公司,"数据服务,移动互联网",3842344,"['金融', '业务运营', 'SPSS', 'sas']",数据分析师（渠道推广、APP分析）,产品/需求/项目类,数据分析,10k-15k,1-3年
"['中山公园', '新华路']",上海,476,北京三快在线科技有限公司,2000人以上,长宁区,本科,D轮及以上,"移动互联网,O2O",4090565,"['SQL', 'BI']",数据分析师（Tableau）,产品/需求/项目类,数据分析,18k-28k,1-3年
"['虹梅路', '漕河泾']",上海,476,上海行书信息科技有限公司,50-150人,徐汇区,本科,B轮,"移动互联网,教育",3979642,"['产品', 'SPSS']",运营数据分析,运营/编辑/客服,运营,8K-16K,不限
"['田林', '漕河泾', '漕宝路']",上海,476,上海拿米金融信息服务有限公司,150-500人,徐汇区,本科,不需要融资,"移动互联网,金融",3954848,"['金融', '数据挖掘', '建模']",大数据分析工程师-数据模型师,开发/测试/运维类,数据开发,20k-35k,3-5年
"['漕宝路', '万源城', '东兰路']",上海,476,上海触乐信息科技有限公司,150-500人,徐汇区,本科,D轮及以上,"移动互联网,数据服务",4098849,"['电商', '广告营销', '海外', '产品']",商业化运营经理（数据分析）,运营/编辑/客服,运营,15k-30k,1-3年
NULL,上海,476,上海联璧电子科技（集团）有限公司,500-2000人,松江区,大专,B轮,"移动互联网,O2O",4050399,['业务运营'],销售数据分析专员,产品/需求/项目类,数据分析,6k-7k,1-3年
"['和平公园', '四平路', '临平路']",上海,476,麦曼（上海）企业管理咨询有限公司,150-500人,虹口区,大专,A轮,O2O,4003924,"['教育', '调研', '大数据']",数据分析助理/专员（教育行业）,市场/商务/销售类,市场/营销,5k-8k,1年以下
NULL,上海,476,上海秦苍信息科技有限公司,500-2000人,浦东新区,本科,C轮,移动互联网、金融,3173064,"['建模', 'SPSS', 'sas']",数据分析（业务运营方向）,产品/需求/项目类,数据分析,5k-8k,不限
['张江'],上海,476,韩领网络科技（上海）有限公司,2000人以上,浦东新区,本科,不需要融资,"移动互联网,O2O",3751903,"['商业', '业务运营', 'AR']",资深数据分析Data Analyst(S&amp;OP),产品/需求/项目类,数据分析,18k-28k,不限
"['龙华', '斜土路', '枫林路']",上海,476,上海青客公共租赁住房租赁经营管理股份有限公司,500-2000人,徐汇区,大专,C轮,"移动互联网,O2O",3659490,"['大数据', '数据挖掘', 'SPSS']",SEM数据分析助理,开发/测试/运维类,数据开发,4k-6k,不限
"['闸北公园', '大宁路']",上海,476,上海高度信息科技有限公司,50-150人,闸北区,本科,B轮,"O2O,生活服务",4011154,"['广告营销', 'BI', 'growth hacking', '大数据', '数据挖掘']",市场营销数据分析师,产品/需求/项目类,数据分析,8k-15k,1-3年
NULL,上海,476,中诚信征信有限公司,150-500人,黄浦区,硕士,不需要融资,"移动互联网,金融",4070433,['Java'],数据分析师（风控建模方向-上海）,开发/测试/运维类,数据开发,15k-30k,1-3年
['北新泾'],上海,476,京东商城,2000人以上,长宁区,本科,上市公司,电子商务,3058143,"['信息安全', '数据挖掘']",风控数据分析岗,产品/需求/项目类,数据分析,12k-24k,1-3年
"['打浦桥', '新天地', '淮海路', '新天地', '淮海路']",上海,476,上海蓝色光标品牌顾问有限公司,2000人以上,黄浦区,本科,上市公司,"广告营销,企业服务",3386674,['SQL'],CRM Business Analyst 数据分析,产品/需求/项目类,数据分析,10k-20k,3-5年
['人民广场'],上海,476,上海硕恩网络科技股份有限公司,15-50人,黄浦区,本科,D轮及以上,"数据服务,电子商务",3489753,"['银行', '资深', '数据挖掘']",SAS数据分析专家,开发/测试/运维类,数据开发,15k-25k,3-5年
